reference	n	word	lemma	extended_strongs	role	morphology
Matthew 1:1	1	¶Βίβλος	βίβλος	9760	N	....NFS
Matthew 1:1	2	γενέσεως	γένεσις	10780	N	....GFS
Matthew 1:1	3	Ἰησοῦ	Ἰησοῦς	24240	N	....GMS
Matthew 1:1	4	Χριστοῦ,	χριστός	55470	N	....GMS
Matthew 1:1	5	υἱοῦ	υἱός	52070	N	....GMS
Matthew 1:1	6	Δαυίδ,	Δαυίδ	11380	N	....GMS
Matthew 1:1	7	υἱοῦ	υἱός	52070	N	....GMS
Matthew 1:1	8	Ἀβραάμ.	Ἀβραάμ	110	N	....GMS
Matthew 1:2	1	Ἀβραὰμ	Ἀβραάμ	110	N	....NMS
Matthew 1:2	2	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:2	3	τὸν	ὁ	35880	E	....AMS
Matthew 1:2	4	Ἰσαάκ·	Ἰσαάκ	24640	N	....AMS
Matthew 1:2	5	Ἰσαὰκ	Ἰσαάκ	24640	N	....NMS
Matthew 1:2	6	δὲ	δέ	11610	C	.......
Matthew 1:2	7	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:2	8	τὸν	ὁ	35880	E	....AMS
Matthew 1:2	9	Ἰακώβ·	Ἰακώβ	23840	N	....AMS
Matthew 1:2	10	Ἰακὼβ	Ἰακώβ	23840	N	....NMS
Matthew 1:2	11	δὲ	δέ	11610	C	.......
Matthew 1:2	12	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:2	13	τὸν	ὁ	35880	E	....AMS
Matthew 1:2	14	Ἰούδαν	Ἰούδας	24550	N	....AMS
Matthew 1:2	15	καὶ	καί	25320	C	.......
Matthew 1:2	16	τοὺς	ὁ	35880	E	....AMP
Matthew 1:2	17	ἀδελφοὺς	ἀδελφός	800	N	....AMP
Matthew 1:2	18	αὐτοῦ·	αὐτός	8460	R	...3GMS
Matthew 1:3	1	Ἰούδας	Ἰούδας	24550	N	....NMS
Matthew 1:3	2	δὲ	δέ	11610	C	.......
Matthew 1:3	3	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:3	4	τὸν	ὁ	35880	E	....AMS
Matthew 1:3	5	Φάρες	Φαρές	53290	N	....AMS
Matthew 1:3	6	καὶ	καί	25320	C	.......
Matthew 1:3	7	τὸν	ὁ	35880	E	....AMS
Matthew 1:3	8	Ζαρὰ	Ζάρα	21960	N	....AMS
Matthew 1:3	9	ἐκ	ἐκ	15370	P	.......
Matthew 1:3	10	τῆς	ὁ	35880	E	....GFS
Matthew 1:3	11	Θάμαρ·	Θαμάρ	22830	N	....GFS
Matthew 1:3	12	Φάρες	Φαρές	53290	N	....NMS
Matthew 1:3	13	δὲ	δέ	11610	C	.......
Matthew 1:3	14	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:3	15	τὸν	ὁ	35880	E	....AMS
Matthew 1:3	16	Ἐσρώμ·	Ἑσρώμ	20740	N	....AMS
Matthew 1:3	17	Ἐσρὼμ	Ἑσρώμ	20740	N	....NMS
Matthew 1:3	18	δὲ	δέ	11610	C	.......
Matthew 1:3	19	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:3	20	τὸν	ὁ	35880	E	....AMS
Matthew 1:3	21	Ἀράμ·	Ἀράμ	6890	N	....AMS
Matthew 1:4	1	Ἀρὰμ	Ἀράμ	6890	N	....NMS
Matthew 1:4	2	δὲ	δέ	11610	C	.......
Matthew 1:4	3	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:4	4	τὸν	ὁ	35880	E	....AMS
Matthew 1:4	5	Ἀμιναδάβ·	Ἀμιναδάβ	2840	N	....AMS
Matthew 1:4	6	Ἀμιναδὰβ	Ἀμιναδάβ	2840	N	....NMS
Matthew 1:4	7	δὲ	δέ	11610	C	.......
Matthew 1:4	8	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:4	9	τὸν	ὁ	35880	E	....AMS
Matthew 1:4	10	Ναασσών·	Ναασσών	34760	N	....AMS
Matthew 1:4	11	Ναασσὼν	Ναασσών	34760	N	....NMS
Matthew 1:4	12	δὲ	δέ	11610	C	.......
Matthew 1:4	13	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:4	14	τὸν	ὁ	35880	E	....AMS
Matthew 1:4	15	Σαλμών·	Σαλμών	45330	N	....AMS
Matthew 1:5	1	Σαλμὼν	Σαλμών	45330	N	....NMS
Matthew 1:5	2	δὲ	δέ	11610	C	.......
Matthew 1:5	3	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:5	4	τὸν	ὁ	35880	E	....AMS
Matthew 1:5	5	Βοὸζ	Βόοζ	10030	N	....AMS
Matthew 1:5	6	ἐκ	ἐκ	15370	P	.......
Matthew 1:5	7	τῆς	ὁ	35880	E	....GFS
Matthew 1:5	8	Ῥαχάβ·	Ῥαχάβ	44770	N	....GFS
Matthew 1:5	9	Βοὸζ	Βόοζ	10030	N	....NMS
Matthew 1:5	10	δὲ	δέ	11610	C	.......
Matthew 1:5	11	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:5	12	τὸν	ὁ	35880	E	....AMS
Matthew 1:5	13	Ὠβὴδ	Ὠβήδ	56010	N	....AMS
Matthew 1:5	14	ἐκ	ἐκ	15370	P	.......
Matthew 1:5	15	τῆς	ὁ	35880	E	....GFS
Matthew 1:5	16	Ῥούθ·	Ῥούθ	45030	N	....GFS
Matthew 1:5	17	Ὠβὴδ	Ὠβήδ	56010	N	....NMS
Matthew 1:5	18	δὲ	δέ	11610	C	.......
Matthew 1:5	19	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:5	20	τὸν	ὁ	35880	E	....AMS
Matthew 1:5	21	Ἰεσσαί·	Ἰεσσαί	24210	N	....AMS
Matthew 1:6	1	Ἰεσσαὶ	Ἰεσσαί	24210	N	....NMS
Matthew 1:6	2	δὲ	δέ	11610	C	.......
Matthew 1:6	3	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:6	4	τὸν	ὁ	35880	E	....AMS
Matthew 1:6	5	Δαυίδ	Δαυίδ	11380	N	....AMS
Matthew 1:6	6	τὸν	ὁ	35880	E	....AMS
Matthew 1:6	7	βασιλέα·	βασιλεύς	9350	N	....AMS
Matthew 1:6	8	Δαυίδ	Δαυίδ	11380	N	....NMS
Matthew 1:6	9	δὲ	δέ	11610	C	.......
Matthew 1:6	10	ὁ	ὁ	35880	E	....NMS
Matthew 1:6	11	βασιλεὺς	βασιλεύς	9350	N	....NMS
Matthew 1:6	12	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:6	13	τὸν	ὁ	35880	E	....AMS
Matthew 1:6	14	Σολομῶνα	Σολομών	46720	N	....AMS
Matthew 1:6	15	ἐκ	ἐκ	15370	P	.......
Matthew 1:6	16	τῆς	ὁ	35880	R	....GFS
Matthew 1:6	17	τοῦ	ὁ	35880	E	....GMS
Matthew 1:6	18	Οὐρίου·	Οὐρίας	37740	N	....GMS
Matthew 1:7	1	Σολομὼν	Σολομών	46720	N	....NMS
Matthew 1:7	2	δὲ	δέ	11610	C	.......
Matthew 1:7	3	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:7	4	τὸν	ὁ	35880	E	....AMS
Matthew 1:7	5	Ῥοβοάμ·	Ῥοβοάμ	44970	N	....AMS
Matthew 1:7	6	Ῥοβοὰμ	Ῥοβοάμ	44970	N	....NMS
Matthew 1:7	7	δὲ	δέ	11610	C	.......
Matthew 1:7	8	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:7	9	τὸν	ὁ	35880	E	....AMS
Matthew 1:7	10	Ἀβιά·	Ἀβιά	70	N	....AMS
Matthew 1:7	11	Ἀβιὰ	Ἀβιά	70	N	....NMS
Matthew 1:7	12	δὲ	δέ	11610	C	.......
Matthew 1:7	13	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:7	14	τὸν	ὁ	35880	E	....AMS
Matthew 1:7	15	Ἀσά·	Ἀσά	7600	N	....AMS
Matthew 1:8	1	Ἀσὰ	Ἀσά	7600	N	....NMS
Matthew 1:8	2	δὲ	δέ	11610	C	.......
Matthew 1:8	3	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:8	4	τὸν	ὁ	35880	E	....AMS
Matthew 1:8	5	Ἰωσαφάτ·	Ἰωσαφάτ	24980	N	....AMS
Matthew 1:8	6	Ἰωσαφὰτ	Ἰωσαφάτ	24980	N	....NMS
Matthew 1:8	7	δὲ	δέ	11610	C	.......
Matthew 1:8	8	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:8	9	τὸν	ὁ	35880	E	....AMS
Matthew 1:8	10	Ἰωράμ·	Ἰωράμ	24960	N	....AMS
Matthew 1:8	11	Ἰωρὰμ	Ἰωράμ	24960	N	....NMS
Matthew 1:8	12	δὲ	δέ	11610	C	.......
Matthew 1:8	13	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:8	14	τὸν	ὁ	35880	E	....AMS
Matthew 1:8	15	Ὀζίαν·	Ὀζίας	36040	N	....AMS
Matthew 1:9	1	Ὀζίας	Ὀζίας	36040	N	....NMS
Matthew 1:9	2	δὲ	δέ	11610	C	.......
Matthew 1:9	3	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:9	4	τὸν	ὁ	35880	E	....AMS
Matthew 1:9	5	Ἰωαθάμ·	Ἰωαθάμ	24880	N	....AMS
Matthew 1:9	6	Ἰωάθαμ	Ἰωαθάμ	24880	N	....NMS
Matthew 1:9	7	δὲ	δέ	11610	C	.......
Matthew 1:9	8	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:9	9	τὸν	ὁ	35880	E	....AMS
Matthew 1:9	10	Ἄχάζ·	Ἀχάζ	8810	N	....AMS
Matthew 1:9	11	Ἄχὰζ	Ἀχάζ	8810	N	....NMS
Matthew 1:9	12	δὲ	δέ	11610	C	.......
Matthew 1:9	13	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:9	14	τὸν	ὁ	35880	E	....AMS
Matthew 1:9	15	Ἐζεκίαν·	Ἑζεκίας	14780	N	....AMS
Matthew 1:10	1	Ἐζεκίας	Ἑζεκίας	14780	N	....NMS
Matthew 1:10	2	δὲ	δέ	11610	C	.......
Matthew 1:10	3	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:10	4	τὸν	ὁ	35880	E	....AMS
Matthew 1:10	5	Μανασσῆ·	Μανασσῆ	31280	N	....AMS
Matthew 1:10	6	Μανασσῆς	Μανασσῆς	31280	N	....NMS
Matthew 1:10	7	δὲ	δέ	11610	C	.......
Matthew 1:10	8	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:10	9	τὸν	ὁ	35880	E	....AMS
Matthew 1:10	10	Ἀμών·	Ἀμών	3000	N	....AMS
Matthew 1:10	11	Ἀμὼν	Ἀμών	3000	N	....NMS
Matthew 1:10	12	δὲ	δέ	11610	C	.......
Matthew 1:10	13	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:10	14	τὸν	ὁ	35880	E	....AMS
Matthew 1:10	15	Ἰωσίαν·	Ἰωσίας	25020	N	....AMS
Matthew 1:11	1	Ἰωσίας	Ἰωσίας	25020	N	....NMS
Matthew 1:11	2	δὲ	δέ	11610	C	.......
Matthew 1:11	3	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:11	4	τὸν	ὁ	35880	E	....AMS
Matthew 1:11	5	Ἰεχονίαν	Ἰεχονίας	24230	N	....AMS
Matthew 1:11	6	καὶ	καί	25320	C	.......
Matthew 1:11	7	τοὺς	ὁ	35880	E	....AMP
Matthew 1:11	8	ἀδελφοὺς	ἀδελφός	800	N	....AMP
Matthew 1:11	9	αὐτοῦ,	αὐτός	8460	R	...3GMS
Matthew 1:11	10	ἐπὶ	ἐπί	19090	P	.......
Matthew 1:11	11	τῆς	ὁ	35880	E	....GFS
Matthew 1:11	12	μετοικεσίας	μετοικεσία	33500	N	....GFS
Matthew 1:11	13	Βαβυλῶνος:	Βαβυλών	8970	N	....GFS
Matthew 1:12	1	Μετὰ	μετά	33260	P	.......
Matthew 1:12	2	δὲ	δέ	11610	C	.......
Matthew 1:12	3	τὴν	ὁ	35880	E	....AFS
Matthew 1:12	4	μετοικεσίαν	μετοικεσία	33500	N	....AFS
Matthew 1:12	5	Βαβυλῶνος	Βαβυλών	8970	N	....GFS
Matthew 1:12	6	Ἰεχονίας	Ἰεχονίας	24230	N	....NMS
Matthew 1:12	7	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:12	8	τὸν	ὁ	35880	E	....AMS
Matthew 1:12	9	Σαλαθιήλ·	Σαλαθιήλ	45280	N	....AMS
Matthew 1:12	10	Σαλαθιὴλ	Σαλαθιήλ	45280	N	....NMS
Matthew 1:12	11	δὲ	δέ	11610	C	.......
Matthew 1:12	12	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:12	13	τὸν	ὁ	35880	E	....AMS
Matthew 1:12	14	Ζοροβάβελ·	Ζοροβαβέλ	22160	N	....AMS
Matthew 1:13	1	Ζοροβάβελ	Ζοροβαβέλ	22160	N	....NMS
Matthew 1:13	2	δὲ	δέ	11610	C	.......
Matthew 1:13	3	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:13	4	τὸν	ὁ	35880	E	....AMS
Matthew 1:13	5	Ἀβιούδ·	Ἀβιούδ	100	N	....AMS
Matthew 1:13	6	Ἀβιοὺδ	Ἀβιούδ	100	N	....NMS
Matthew 1:13	7	δὲ	δέ	11610	C	.......
Matthew 1:13	8	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:13	9	τὸν	ὁ	35880	E	....AMS
Matthew 1:13	10	Ἐλιακείμ·	Ἐλιακείμ	16620	N	....AMS
Matthew 1:13	11	Ἐλιακεὶμ	Ἐλιακείμ	16620	N	....NMS
Matthew 1:13	12	δὲ	δέ	11610	C	.......
Matthew 1:13	13	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:13	14	τὸν	ὁ	35880	E	....AMS
Matthew 1:13	15	Ἀζώρ·	Ἀζώρ	1070	N	....AMS
Matthew 1:14	1	Ἀζὼρ	Ἀζώρ	1070	N	....NMS
Matthew 1:14	2	δὲ	δέ	11610	C	.......
Matthew 1:14	3	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:14	4	τὸν	ὁ	35880	E	....AMS
Matthew 1:14	5	Σαδώκ·	Σαδώκ	45240	N	....AMS
Matthew 1:14	6	Σαδὼκ	Σαδώκ	45240	N	....NMS
Matthew 1:14	7	δὲ	δέ	11610	C	.......
Matthew 1:14	8	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:14	9	τὸν	ὁ	35880	E	....AMS
Matthew 1:14	10	Ἀχείμ·	Ἀχείμ	8850	N	....AMS
Matthew 1:14	11	Ἀχεὶμ	Ἀχείμ	8850	N	....NMS
Matthew 1:14	12	δὲ	δέ	11610	C	.......
Matthew 1:14	13	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:14	14	τὸν	ὁ	35880	E	....AMS
Matthew 1:14	15	Ἐλιούδ·	Ἐλιούδ	16640	N	....AMS
Matthew 1:15	1	Ἐλιοὺδ	Ἐλιούδ	16640	N	....NMS
Matthew 1:15	2	δὲ	δέ	11610	C	.......
Matthew 1:15	3	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:15	4	τὸν	ὁ	35880	E	....AMS
Matthew 1:15	5	Ἐλεάζαρ·	Ἐλεάζαρ	16480	N	....AMS
Matthew 1:15	6	Ἐλεάζαρ	Ἐλεάζαρ	16480	N	....NMS
Matthew 1:15	7	δὲ	δέ	11610	C	.......
Matthew 1:15	8	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:15	9	τὸν	ὁ	35880	E	....AMS
Matthew 1:15	10	Ματθάν·	Ματθάν	31570	N	....AMS
Matthew 1:15	11	Ματθὰν	Ματθάν	31570	N	....NMS
Matthew 1:15	12	δὲ	δέ	11610	C	.......
Matthew 1:15	13	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:15	14	τὸν	ὁ	35880	E	....AMS
Matthew 1:15	15	Ἰακώβ·	Ἰακώβ	23840	N	....AMS
Matthew 1:16	1	Ἰακὼβ	Ἰακώβ	23840	N	....NMS
Matthew 1:16	2	δὲ	δέ	11610	C	.......
Matthew 1:16	3	ἐγέννησεν	γεννάω	10800	V	IAA3..S
Matthew 1:16	4	τὸν	ὁ	35880	E	....AMS
Matthew 1:16	5	Ἰωσὴφ	Ἰωσήφ	25010	N	....AMS
Matthew 1:16	6	τὸν	ὁ	35880	E	....AMS
Matthew 1:16	7	ἄνδρα	ἀνήρ	4350	N	....AMS
Matthew 1:16	8	Μαρίας,	Μαρία	31370	N	....GFS
Matthew 1:16	9	ἐξ	ἐκ	15370	P	.......
Matthew 1:16	10	ἧς	ὅς	37390	R	....GFS
Matthew 1:16	11	ἐγεννήθη	γεννάω	10800	V	IAP3..S
Matthew 1:16	12	Ἰησοῦς,	Ἰησοῦς	24240	N	....NMS
Matthew 1:16	13	ὁ	ὁ	35880	R	....NMS
Matthew 1:16	14	λεγόμενος	λέγω	30040	V	PPP.NMS
Matthew 1:16	15	Χριστός.	χριστός	55470	N	....NMS
Matthew 1:17	1	Πᾶσαι	πᾶς	39560	E	....NFP
Matthew 1:17	2	οὖν	οὖν	37670	C	.......
Matthew 1:17	3	αἱ	ὁ	35880	E	....NFP
Matthew 1:17	4	γενεαὶ	γενεά	10740	N	....NFP
Matthew 1:17	5	ἀπὸ	ἀπό	5750	P	.......
Matthew 1:17	6	Ἀβραὰμ	Ἀβραάμ	110	N	....GMS
Matthew 1:17	7	ἕως	ἕως	21930	P	.......
Matthew 1:17	8	Δαυίδ	Δαυίδ	11380	N	....GMS
Matthew 1:17	9	γενεαὶ	γενεά	10740	N	....NFP
Matthew 1:17	10	δεκατέσσαρες·	δεκατέσσαρες	11800	E	....NFP
Matthew 1:17	11	καὶ	καί	25320	C	.......
Matthew 1:17	12	ἀπὸ	ἀπό	5750	P	.......
Matthew 1:17	13	Δαυίδ	Δαυίδ	11380	N	....GMS
Matthew 1:17	14	ἕως	ἕως	21930	P	.......
Matthew 1:17	15	τῆς	ὁ	35880	E	....GFS
Matthew 1:17	16	μετοικεσίας	μετοικεσία	33500	N	....GFS
Matthew 1:17	17	Βαβυλῶνος	Βαβυλών	8970	N	....GFS
Matthew 1:17	18	γενεαὶ	γενεά	10740	N	....NFP
Matthew 1:17	19	δεκατέσσαρες·	δεκατέσσαρες	11800	E	....NFP
Matthew 1:17	20	καὶ	καί	25320	C	.......
Matthew 1:17	21	ἀπὸ	ἀπό	5750	P	.......
Matthew 1:17	22	τῆς	ὁ	35880	E	....GFS
Matthew 1:17	23	μετοικεσίας	μετοικεσία	33500	N	....GFS
Matthew 1:17	24	Βαβυλῶνος	Βαβυλών	8970	N	....GFS
Matthew 1:17	25	ἕως	ἕως	21930	P	.......
Matthew 1:17	26	τοῦ	ὁ	35880	E	....GMS
Matthew 1:17	27	Χριστοῦ	χριστός	55470	N	....GMS
Matthew 1:17	28	γενεαὶ	γενεά	10740	N	....NFP
Matthew 1:17	29	δεκατέσσαρες.	δεκατέσσαρες	11800	E	....NFP
Matthew 1:18	1	¶Τοῦ	ὁ	35880	E	....GMS
Matthew 1:18	2	δὲ	δέ	11610	C	.......
Matthew 1:18	3	Ἰησοῦ	Ἰησοῦς	24240	N	....GMS
Matthew 1:18	4	Χριστοῦ	χριστός	55470	N	....GMS
Matthew 1:18	5	ἡ	ὁ	35880	E	....NFS
Matthew 1:18	6	γέννησις	γέννησις	10830	N	....NFS
Matthew 1:18	7	οὕτως	οὕτως	37790	D	.......
Matthew 1:18	8	ἦν:	εἰμί	15100	V	IIA3..S
Matthew 1:18	9	Μνηστευθείσης	μνηστεύω	34230	V	PAP.GFS
Matthew 1:18	10	γὰρ	γάρ	10630	C	.......
Matthew 1:18	11	τῆς	ὁ	35880	E	....GFS
Matthew 1:18	12	μητρὸς	μήτηρ	33840	N	....GFS
Matthew 1:18	13	αὐτοῦ	αὐτός	8460	R	...3GMS
Matthew 1:18	14	Μαρίας	Μαρία	31370	N	....GFS
Matthew 1:18	15	τῷ	ὁ	35880	E	....DMS
Matthew 1:18	16	Ἰωσήφ,	Ἰωσήφ	25010	N	....DMS
Matthew 1:18	17	πρὶν	πρίν	42500	C	.......
Matthew 1:18	18	ἢ	ἤ	22280	T	.......
Matthew 1:18	19	συνελθεῖν	συνέρχομαι	49050	V	NAA....
Matthew 1:18	20	αὐτοὺς,	αὐτός	8460	R	...3AMP
Matthew 1:18	21	εὑρέθη	εὑρίσκω	21470	V	IAP3..S
Matthew 1:18	22	ἐν	ἐν	17220	P	.......
Matthew 1:18	23	γαστρὶ	γαστήρ	10640	N	....DFS
Matthew 1:18	24	ἔχουσα	ἔχω	21920	V	PPA.NFS
Matthew 1:18	25	ἐκ	ἐκ	15370	P	.......
Matthew 1:18	26	Πνεύματος	πνεῦμα	41510	N	....GNS
Matthew 1:18	27	Ἁγίου.	ἅγιος	400	A	....GNS
Matthew 1:19	1	Ἰωσὴφ	Ἰωσήφ	25010	N	....NMS
Matthew 1:19	2	δὲ	δέ	11610	C	.......
Matthew 1:19	3	ὁ	ὁ	35880	E	....NMS
Matthew 1:19	4	ἀνὴρ	ἀνήρ	4350	N	....NMS
Matthew 1:19	5	αὐτῆς,	αὐτός	8460	R	...3GFS
Matthew 1:19	6	δίκαιος	δίκαιος	13420	S	....NMS
Matthew 1:19	7	ὢν,	εἰμί	15100	V	PPA.NMS
Matthew 1:19	8	καὶ	καί	25320	C	.......
Matthew 1:19	9	μὴ	μή	33610	D	.......
Matthew 1:19	10	θέλων	θέλω	23090	V	PPA.NMS
Matthew 1:19	11	αὐτὴν	αὐτός	8460	R	...3AFS
Matthew 1:19	12	παραδειγματίσαι,	παραδειγματίζω	38560	V	NAA....
Matthew 1:19	13	ἐβουλήθη	βούλομαι	10140	V	IAP3..S
Matthew 1:19	14	λάθρᾳ	λάθρᾳ	29770	D	.......
Matthew 1:19	15	ἀπολῦσαι	ἀπολύω	6300	V	NAA....
Matthew 1:19	16	αὐτήν.	αὐτός	8460	R	...3AFS
Matthew 1:20	1	Ταῦτα	οὗτος	37780	R	....ANP
Matthew 1:20	2	δὲ	δέ	11610	C	.......
Matthew 1:20	3	αὐτοῦ	αὐτός	8460	R	...3GMS
Matthew 1:20	4	ἐνθυμηθέντος,	ἐνθυμέομαι	17600	V	PAP.GMS
Matthew 1:20	5	ἰδού,	ὁράω	37080	I	MAM2..S
Matthew 1:20	6	ἄγγελος	ἄγγελος	320	N	....NMS
Matthew 1:20	7	Κυρίου	κύριος	29620	N	....GMS
Matthew 1:20	8	κατʼ	κατά	25960	P	.......
Matthew 1:20	9	ὄναρ	ὄναρ	36770	N	....ANS
Matthew 1:20	10	ἐφάνη	φαίνω	53160	V	IAP3..S
Matthew 1:20	11	αὐτῷ,	αὐτός	8460	R	...3DMS
Matthew 1:20	12	λέγων,	λέγω	30040	V	PPA.NMS
Matthew 1:20	13	Ἰωσήφ,	Ἰωσήφ	25010	N	....VMS
Matthew 1:20	14	υἱὸς	υἱός	52070	N	....NMS
Matthew 1:20	15	Δαυίδ,	Δαυίδ	11380	N	....GMS
Matthew 1:20	16	μὴ	μή	33610	D	.......
Matthew 1:20	17	φοβηθῇς	φοβέω	53990	V	SAP2..S
Matthew 1:20	18	παραλαβεῖν	παραλαμβάνω	38800	V	NAA....
Matthew 1:20	19	Μαριὰμ	Μαριάμ	31370	N	....AFS
Matthew 1:20	20	τὴν	ὁ	35880	E	....AFS
Matthew 1:20	21	γυναῖκά	γυνή	11350	N	....AFS
Matthew 1:20	22	σου:	σύ	47710	R	...2G.S
Matthew 1:20	23	τὸ	ὁ	35880	R	....NNS
