reference	n	word	normalized	lemma	strongs	morphology	tvm_code
Matthew 1:1	1	Βίβλος	Βίβλος	βίβλος	G0976	N-NSF	
Matthew 1:1	2	γενέσεως	γενέσεως	γένεσις	G1078	N-GSF	
Matthew 1:1	3	Ἰησοῦ	Ἰησοῦ	Ἰησοῦς	G2424	N-GSM	
Matthew 1:1	4	Χριστοῦ	Χριστοῦ	Χριστός	G5547	N-GSM	
Matthew 1:1	5	υἱοῦ	υἱοῦ	υἱός	G5207	N-GSM	
Matthew 1:1	6	Δαυεὶδ	Δαυείδ	Δαυίδ	G1138	N-PRI	
Matthew 1:1	7	υἱοῦ	υἱοῦ	υἱός	G5207	N-GSM	
Matthew 1:1	8	Ἀβραάμ.	Ἀβραάμ	Ἀβραάμ	G0011	N-PRI	
Matthew 1:2	1	Ἀβραὰμ	Ἀβραάμ	Ἀβραάμ	G0011	N-PRI	
Matthew 1:2	2	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:2	3	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:2	4	Ἰσαάκ,	Ἰσαάκ	Ἰσαάκ	G2464	N-PRI	
Matthew 1:2	5	Ἰσαὰκ	Ἰσαάκ	Ἰσαάκ	G2464	N-PRI	
Matthew 1:2	6	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:2	7	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:2	8	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:2	9	Ἰακώβ,	Ἰακώβ	Ἰακώβ	G2384	N-PRI	
Matthew 1:2	10	Ἰακὼβ	Ἰακώβ	Ἰακώβ	G2384	N-PRI	
Matthew 1:2	11	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:2	12	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:2	13	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:2	14	Ἰούδαν	Ἰούδαν	Ἰούδας	G2455	N-ASM	
Matthew 1:2	15	καὶ	καί	καί	G2532	CONJ	
Matthew 1:2	16	τοὺς	τούς	ὁ	G3588	T-APM	
Matthew 1:2	17	ἀδελφοὺς	ἀδελφούς	ἀδελφός	G0080	N-APM	
Matthew 1:2	18	αὐτοῦ,	αὐτοῦ	αὐτός	G0846	P-GSM	
Matthew 1:3	1	Ἰούδας	Ἰούδας	Ἰούδας	G2455	N-NSM	
Matthew 1:3	2	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:3	3	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:3	4	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:3	5	Φαρὲς	Φαρές	Φάρες	G5329	N-PRI	
Matthew 1:3	6	καὶ	καί	καί	G2532	CONJ	
Matthew 1:3	7	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:3	8	Ζαρὰ	Ζαρά	Ζάρα	G2196	N-PRI	
Matthew 1:3	9	ἐκ	ἐκ	ἐκ	G1537	PREP	
Matthew 1:3	10	τῆς	τῆς	ὁ	G3588	T-GSF	
Matthew 1:3	11	Θάμαρ,	Θάμαρ	Θαμάρ	G2283	N-PRI	
Matthew 1:3	12	Φαρὲς	Φαρές	Φάρες	G5329	N-PRI	
Matthew 1:3	13	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:3	14	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:3	15	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:3	16	Ἐσρώμ,	Ἐσρώμ	Ἑσρώμ	G2074	N-PRI	
Matthew 1:3	17	Ἐσρὼμ	Ἐσρώμ	Ἑσρώμ	G2074	N-PRI	
Matthew 1:3	18	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:3	19	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:3	20	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:3	21	Ἀράμ,	Ἀράμ	Ἀράμ	G0689	N-PRI	
Matthew 1:4	1	Ἀρὰμ	Ἀράμ	Ἀράμ	G0689	N-PRI	
Matthew 1:4	2	δὲ	δέ	δέ	G1161	CONJ	
