reference	n	word	normalized	lemma	part_of_speech	parse
Matthew 1:1	1	Βίβλος	βίβλος	βίβλος	N-	----NSF-
Matthew 1:1	2	γενέσεως	γενέσεως	γένεσις	N-	----GSF-
Matthew 1:1	3	Ἰησοῦ	Ἰησοῦ	Ἰησοῦς	N-	----GSM-
Matthew 1:1	4	χριστοῦ	Χριστοῦ	Χριστός	N-	----GSM-
Matthew 1:1	5	υἱοῦ	υἱοῦ	υἱός	N-	----GSM-
Matthew 1:1	6	Δαυὶδ	Δαυίδ	Δαυίδ	N-	----GSM-
Matthew 1:1	7	υἱοῦ	υἱοῦ	υἱός	N-	----GSM-
Matthew 1:1	8	Ἀβραάμ	Ἀβραάμ	Ἀβραάμ	N-	----GSM-
Matthew 1:2	1	Ἀβραὰμ	Ἀβραάμ	Ἀβραάμ	N-	----NSM-
Matthew 1:2	2	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:2	3	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:2	4	Ἰσαάκ	Ἰσαάκ	Ἰσαάκ	N-	----ASM-
Matthew 1:2	5	Ἰσαὰκ	Ἰσαάκ	Ἰσαάκ	N-	----NSM-
Matthew 1:2	6	δὲ	δέ	δέ	C-	--------
Matthew 1:2	7	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:2	8	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:2	9	Ἰακώβ	Ἰακώβ	Ἰακώβ	N-	----ASM-
Matthew 1:2	10	Ἰακὼβ	Ἰακώβ	Ἰακώβ	N-	----NSM-
Matthew 1:2	11	δὲ	δέ	δέ	C-	--------
Matthew 1:2	12	ἐγέννησεν	ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
Matthew 1:2	13	τὸν	τόν	ὁ	RA	----ASM-
Matthew 1:2	14	Ἰούδαν	Ἰούδαν	Ἰούδας	N-	----ASM-
Matthew 1:2	15	καὶ	καί	καί	C-	--------
Matthew 1:2	16	τοὺς	τούς	ὁ	RA	----APM-
Matthew 1:2	17	ἀδελφοὺς	ἀδελφούς	ἀδελφός	N-	----APM-
Matthew 1:2	18	αὐτοῦ	αὐτοῦ	αὐτός	RP	----GSM-
