reference	n	word	strongs	morphology	tvm_code
Matthew 1:1	1	βιβλος	G0976	N-NSF	
Matthew 1:1	2	γενεσεως	G1078	N-GSF	
Matthew 1:1	3	ιησου	G2424	N-GSM	
Matthew 1:1	4	χριστου	G5547	N-GSM	
Matthew 1:1	5	υιου	G5207	N-GSM	
Matthew 1:1	6	δαβιδ	G1138	N-PRI	
Matthew 1:1	7	υιου	G5207	N-GSM	
Matthew 1:1	8	αβρααμ	G0011	N-PRI	
Matthew 1:2	1	αβρααμ	G0011	N-PRI	
Matthew 1:2	2	εγεννησεν	G1080	V-AAI-3S	5656
Matthew 1:2	3	τον	G3588	T-ASM	
Matthew 1:2	4	ισαακ	G2464	N-PRI	
Matthew 1:2	5	ισαακ	G2464	N-PRI	
Matthew 1:2	6	δε	G1161	CONJ	
Matthew 1:2	7	εγεννησεν	G1080	V-AAI-3S	5656
Matthew 1:2	8	τον	G3588	T-ASM	
Matthew 1:2	9	ιακωβ	G2384	N-PRI	
Matthew 1:2	10	ιακωβ	G2384	N-PRI	
Matthew 1:2	11	δε	G1161	CONJ	
Matthew 1:2	12	εγεννησεν	G1080	V-AAI-3S	5656
Matthew 1:2	13	τον	G3588	T-ASM	
Matthew 1:2	14	ιουδαν	G2455	N-ASM	
Matthew 1:2	15	και	G2532	CONJ	
Matthew 1:2	16	τους	G3588	T-APM	
Matthew 1:2	17	αδελφους	G0080	N-APM	
Matthew 1:2	18	αυτου	G0846	P-GSM	
Matthew 1:3	1	ιουδας	G2455	N-NSM	
Matthew 1:3	2	δε	G1161	CONJ	
Matthew 1:3	3	εγεννησεν	G1080	V-AAI-3S	5656
Matthew 1:3	4	τον	G3588	T-ASM	
Matthew 1:3	5	φαρες	G5329	N-PRI	
Matthew 1:3	6	και	G2532	CONJ	
Matthew 1:3	7	τον	G3588	T-ASM	
Matthew 1:3	8	ζαρα	G2196	N-PRI	
Matthew 1:3	9	εκ	G1537	PREP	
Matthew 1:3	10	της	G3588	T-GSF	
Matthew 1:3	11	θαμαρ	G2283	N-PRI	
Matthew 1:3	12	φαρες	G5329	N-PRI	
Matthew 1:3	13	δε	G1161	CONJ	
Matthew 1:3	14	εγεννησεν	G1080	V-AAI-3S	5656
Matthew 1:3	15	τον	G3588	T-ASM	
Matthew 1:3	16	εσρωμ	G2074	N-PRI	
Matthew 1:3	17	εσρωμ	G2074	N-PRI	
Matthew 1:3	18	δε	G1161	CONJ	
Matthew 1:3	19	εγεννησεν	G1080	V-AAI-3S	5656
Matthew 1:3	20	τον	G3588	T-ASM	
Matthew 1:3	21	αραμ	G0689	N-PRI	
Matthew 1:4	1	αραμ	G0689	N-PRI	
Matthew 1:4	2	δε	G1161	CONJ	
Matthew 1:4	3	εγεννησεν	G1080	V-AAI-3S	5656
Matthew 1:4	4	τον	G3588	T-ASM	
Matthew 1:4	5	αμιναδαβ	G0284	N-PRI	
Matthew 1:4	6	αμιναδαβ	G0284	N-PRI	
Matthew 1:4	7	δε	G1161	CONJ	
Matthew 1:4	8	εγεννησεν	G1080	V-AAI-3S	5656
Matthew 1:4	9	τον	G3588	T-ASM	
Matthew 1:4	10	ναασσων	G3476	N-PRI	
Matthew 1:4	11	ναασσων	G3476	N-PRI	
Matthew 1:4	12	δε	G1161	CONJ	
Matthew 1:4	13	εγεννησεν	G1080	V-AAI-3S	5656
Matthew 1:4	14	τον	G3588	T-ASM	
Matthew 1:4	15	σαλμων	G4533	N-PRI	
Matthew 1:5	1	σαλμων	G4533	N-PRI	
Matthew 1:5	2	δε	G1161	CONJ	
Matthew 1:5	3	εγεννησεν	G1080	V-AAI-3S	5656
Matthew 1:5	4	τον	G3588	T-ASM	
Matthew 1:5	5	βοοζ	G1003	N-PRI	
Matthew 1:5	6	εκ	G1537	PREP	
Matthew 1:5	7	της	G3588	T-GSF	
Matthew 1:5	8	ραχαβ	G4477	N-PRI	
Matthew 1:5	9	βοοζ	G1003	N-PRI	
Matthew 1:5	10	δε	G1161	CONJ	
Matthew 1:5	11	εγεννησεν	G1080	V-AAI-3S	5656
Matthew 1:5	12	τον	G3588	T-ASM	
Matthew 1:5	13	ωβηδ	G5601	N-PRI	
Matthew 1:5	14	εκ	G1537	PREP	
Matthew 1:5	15	της	G3588	T-GSF	
Matthew 1:5	16	ρουθ	G4503	N-PRI	
Matthew 1:5	17	ωβηδ	G5601	N-PRI	
Matthew 1:5	18	δε	G1161	CONJ	
Matthew 1:5	19	εγεννησεν	G1080	V-AAI-3S	5656
Matthew 1:5	20	τον	G3588	T-ASM	
Matthew 1:5	21	ιεσσαι	G2421	N-PRI	
Matthew 1:6	1	ιεσσαι	G2421	N-PRI	
Matthew 1:6	2	δε	G1161	CONJ	
Matthew 1:6	3	εγεννησεν	G1080	V-AAI-3S	5656
Matthew 1:6	4	τον	G3588	T-ASM	
Matthew 1:6	5	δαβιδ	G1138	N-PRI	
Matthew 1:6	6	τον	G3588	T-ASM	
Matthew 1:6	7	βασιλεα	G0935	N-ASM	
Matthew 1:6	8	δαβιδ	G1138	N-PRI	
Matthew 1:6	9	δε	G1161	CONJ	
Matthew 1:6	10	ο	G3588	T-NSM	
Matthew 1:6	11	βασιλευς	G0935	N-NSM	
Matthew 1:6	12	εγεννησεν	G1080	V-AAI-3S	5656
Matthew 1:6	13	τον	G3588	T-ASM	
Matthew 1:6	14	σολομωντα	G4672	N-ASM	
Matthew 1:6	15	εκ	G1537	PREP	
Matthew 1:6	16	της	G3588	T-GSF	
Matthew 1:6	17	του	G3588	T-GSM	
Matthew 1:6	18	ουριου	G3774	N-GSM	
Matthew 1:7	1	σολομων	G4672	N-NSM	
Matthew 1:7	2	δε	G1161	CONJ	
Matthew 1:7	3	εγεννησεν	G1080	V-AAI-3S	5656
Matthew 1:7	4	τον	G3588	T-ASM	
Matthew 1:7	5	ροβοαμ	G4497	N-PRI	
Matthew 1:7	6	ροβοαμ	G4497	N-PRI	
Matthew 1:7	7	δε	G1161	CONJ	
Matthew 1:7	8	εγεννησεν	G1080	V-AAI-3S	5656
Matthew 1:7	9	τον	G3588	T-ASM	
Matthew 1:7	10	αβια	G0007	N-PRI	
Matthew 1:7	11	αβια	G0007	N-PRI	
Matthew 1:7	12	δε	G1161	CONJ	
Matthew 1:7	13	εγεννησεν	G1080	V-AAI-3S	5656
Matthew 1:7	14	τον	G3588	T-ASM	
Matthew 1:7	15	ασα	G0760	N-PRI	
Matthew 1:8	1	ασα	G0760	N-PRI	
Matthew 1:8	2	δε	G1161	CONJ	
Matthew 1:8	3	εγεννησεν	G1080	V-AAI-3S	5656
Matthew 1:8	4	τον	G3588	T-ASM	
Matthew 1:8	5	ιωσαφατ	G2498	N-PRI	
