reference	byzantine_reading	receptus_reading
Matthew 2:11	ευρον	ειδον
Matthew 2:23	ναζαρετ	ναζαρεθ
Matthew 4:13	ναζαρετ	ναζαρεθ
Matthew 9:18		εις
Matthew 9:33	οτι	
Matthew 10:10	ραβδον	ραβδους
Matthew 10:25	βεελζεβουλ	βεελζεβουβ
Matthew 11:21	βηθσαιδαν	βηθσαιδα
Matthew 13:24	σπειροντι	σπειραντι
Matthew 18:30	αλλα	αλλ
Matthew 21:7	επεκαθισεν	επεκαθισαν
Matthew 21:11	ναζαρετ	ναζαρεθ
Matthew 23:13	ουαι	ουαι δε
Matthew 23:14	ουαι δε	ουαι
Matthew 24:15	εστος	εστως
Mark 1:9	ναζαρετ	ναζαρεθ
Mark 4:18	ουτοι εισιν	
Mark 5:5	διαπαντος	δια παντος
Mark 5:38		και
Mark 6:9	ενδυσησθε	ενδυσασθαι
Mark 6:25	εξ αυτης	εξαυτης
Mark 6:29	τω	
Mark 6:45	βηθσαιδαν	βηθσαιδα
Mark 6:53	γενησαρετ	γεννησαρετ
Mark 8:14		οι μαθηται
Mark 8:22	βηθσαιδαν	βηθσαιδα
Mark 8:24	οτι	
Mark 8:24	ορω	
Mark 9:38		εν
Mark 9:40	υμων υπερ υμων	ημων υπερ ημων
Mark 9:42		τουτων
Mark 10:25	εισελθειν	διελθειν
Mark 12:20		ουν
Mark 13:9	σταθησεσθε	αχθησεσθε
Mark 13:14	εστος	εστως
Mark 15:3		αυτος δε ουδεν απεκρινατο
Luke 1:26	ναζαρετ	ναζαρεθ
Luke 1:35		εκ σου
Luke 2:4	ναζαρετ	ναζαρεθ
Luke 2:22	αυτων	αυτης
Luke 2:25	συμεων	σιμεων
Luke 2:34	συμεων	σιμεων
Luke 2:39	ναζαρετ	ναζαρεθ
Luke 2:51	ναζαρετ	ναζαρεθ
Luke 3:30	συμεων	σιμεων
Luke 3:31	μαιναν	μεναμ
Luke 4:16	ναζαρετ	ναζαρεθ
