reference	n	greek	transliteration	parsing	strongs	english
Matthew 1:1	1	Βίβλος	biblov	N-NSF	G0976	[This is the] record
Matthew 1:1	2	γενέσεως	genesewv	N-GSF	G1078	of [the] genealogy
Matthew 1:1	3	Ἰησοῦ	ihsou	N-GSM	G2424	of Jesus
Matthew 1:1	4	χριστοῦ	cristou	N-GSM	G5547	Christ
Matthew 1:1	5	υἱοῦ	uiou	N-GSM	G5207	[the] son
Matthew 1:1	6	Δαυίδ	dauid	N-PRI	G1138	of David
Matthew 1:1	7	υἱοῦ	uiou	N-GSM	G5207	[the] son
Matthew 1:1	8	Ἀβραάμ	abraam	N-PRI	G0011	of Abraham
Matthew 1:2	1	Ἀβραὰμ	abraam	N-PRI	G0011	Abraham
Matthew 1:2	2	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	was the father of
Matthew 1:2	3	τὸν	ton	T-ASM	G3588	-
Matthew 1:2	4	Ἰσαάκ	isaak	N-PRI	G2464	Isaac
Matthew 1:2	5	Ἰσαὰκ	isaak	N-PRI	G2464	Isaac
Matthew 1:2	6	δὲ	de	CONJ	G1161	-
Matthew 1:2	7	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:2	8	τὸν	ton	T-ASM	G3588	-
Matthew 1:2	9	Ἰακώβ	iakwb	N-PRI	G2384	Jacob
Matthew 1:2	10	Ἰακὼβ	iakwb	N-PRI	G2384	Jacob
Matthew 1:2	11	δὲ	de	CONJ	G1161	and
Matthew 1:2	12	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:2	13	τὸν	ton	T-ASM	G3588	-
Matthew 1:2	14	Ἰούδαν	ioudan	N-ASM	G2455	Judah
Matthew 1:2	15	καὶ	kai	CONJ	G2532	and
Matthew 1:2	16	τοὺς	touv	T-APM	G3588	-
Matthew 1:2	17	ἀδελφοὺς	adelfouv	N-APM	G0080	brothers
Matthew 1:2	18	αὐτοῦ	autou	P-GSM	G0846	his
Matthew 1:3	1	Ἰούδας	ioudav	N-NSM	G2455	Judah
Matthew 1:3	2	δὲ	de	CONJ	G1161	-
Matthew 1:3	3	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	was the father of
Matthew 1:3	4	τὸν	ton	T-ASM	G3588	-
Matthew 1:3	5	Φαρὲς	farev	N-PRI	G5329	Perez
Matthew 1:3	6	καὶ	kai	CONJ	G2532	and
Matthew 1:3	7	τὸν	ton	T-ASM	G3588	-
Matthew 1:3	8	Ζαρὰ	zara	N-PRI	G2196	Zerah
Matthew 1:3	9	ἐκ	ek	PREP	G1537	by
Matthew 1:3	10	τῆς	thv	T-GSF	G3588	-
Matthew 1:3	11	Θάμαρ	qamar	N-PRI	G2283	Tamar
Matthew 1:3	12	Φαρὲς	farev	N-PRI	G5329	Perez
Matthew 1:3	13	δὲ	de	CONJ	G1161	-
Matthew 1:3	14	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:3	15	τὸν	ton	T-ASM	G3588	-
Matthew 1:3	16	Ἑσρώμ	esrwm	N-PRI	G2074	Hezron
Matthew 1:3	17	Ἑσρὼμ	esrwm	N-PRI	G2074	Hezron
Matthew 1:3	18	δὲ	de	CONJ	G1161	and
Matthew 1:3	19	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:3	20	τὸν	ton	T-ASM	G3588	-
Matthew 1:3	21	Ἀράμ	aram	N-PRI	G0689	Ram
Matthew 1:4	1	Ἀρὰμ	aram	N-PRI	G0689	Ram
Matthew 1:4	2	δὲ	de	CONJ	G1161	-
Matthew 1:4	3	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	was the father of
Matthew 1:4	4	τὸν	ton	T-ASM	G3588	-
Matthew 1:4	5	Ἀμιναδάβ	aminadab	N-PRI	G0284	Amminadab
Matthew 1:4	6	Ἀμιναδὰβ	aminadab	N-PRI	G0284	Amminadab
Matthew 1:4	7	δὲ	de	CONJ	G1161	-
Matthew 1:4	8	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:4	9	τὸν	ton	T-ASM	G3588	-
Matthew 1:4	10	Ναασσών	naasswn	N-PRI	G3476	Nahshon
Matthew 1:4	11	Ναασσὼν	naasswn	N-PRI	G3476	Nahshon
Matthew 1:4	12	δὲ	de	CONJ	G1161	and
Matthew 1:4	13	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:4	14	τὸν	ton	T-ASM	G3588	-
Matthew 1:4	15	Σαλμών	salmwn	N-PRI	G4533	Salmon
Matthew 1:5	1	Σαλμὼν	salmwn	N-PRI	G4533	Salmon
Matthew 1:5	2	δὲ	de	CONJ	G1161	-
Matthew 1:5	3	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	was the father of
Matthew 1:5	4	τὸν	ton	T-ASM	G3588	-
Matthew 1:5	5	Βοὸζ	booz	N-PRI	G1003	Boaz
Matthew 1:5	6	ἐκ	ek	PREP	G1537	by
Matthew 1:5	7	τῆς	thv	T-GSF	G3588	-
Matthew 1:5	8	Ῥαχάβ	racab	N-PRI	G4477	Rahab
Matthew 1:5	9	Βοὸζ	booz	N-PRI	G1003	Boaz
Matthew 1:5	10	δὲ	de	CONJ	G1161	-
Matthew 1:5	11	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:5	12	τὸν	ton	T-ASM	G3588	-
Matthew 1:5	13	Ὠβὴδ	wbhd	N-PRI	G5601	Obed
Matthew 1:5	14	ἐκ	ek	PREP	G1537	by
Matthew 1:5	15	τῆς	thv	T-GSF	G3588	-
Matthew 1:5	16	Ῥούθ	rouq	N-PRI	G4503	Ruth
Matthew 1:5	17	Ὠβὴδ	wbhd	N-PRI	G5601	Obed
Matthew 1:5	18	δὲ	de	CONJ	G1161	-
Matthew 1:5	19	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:5	20	τὸν	ton	T-ASM	G3588	-
Matthew 1:5	21	Ἰεσσαί	iessai	N-PRI	G2421	Jesse
Matthew 1:6	1	Ἰεσσαὶ	iessai	N-PRI	G2421	Jesse
Matthew 1:6	2	δὲ	de	CONJ	G1161	and
Matthew 1:6	3	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:6	4	τὸν	ton	T-ASM	G3588	-
Matthew 1:6	5	Δαυὶδ	dauid	N-PRI	G1138	David
Matthew 1:6	6	τὸν	ton	T-ASM	G3588	the
Matthew 1:6	7	βασιλέα	basilea	N-ASM	G0935	king
Matthew 1:6	8	Δαυὶδ	dauid	N-PRI	G1138	David
Matthew 1:6	9	δὲ	de	CONJ	G1161	Next
Matthew 1:6	10	ὁ	o	T-NSM	G3588	the
Matthew 1:6	11	βασιλεὺς	basileuv	N-NSM	G0935	king
Matthew 1:6	12	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	was the father of
Matthew 1:6	13	τὸν	ton	T-ASM	G3588	-
Matthew 1:6	14	Σολομῶνα	solomwna	N-ASM	G4672	Solomon
Matthew 1:6	15	ἐκ	ek	PREP	G1537	by
Matthew 1:6	16	τῆς	thv	T-GSF	G3588	[wife]
Matthew 1:6	17	τοῦ	tou	T-GSM	G3588	. . .
Matthew 1:6	18	Οὐρίου	ouriou	N-GSM	G3774	Uriah’s
Matthew 1:7	1	Σολομὼν	solomwn	N-NSM	G4672	Solomon
Matthew 1:7	2	δὲ	de	CONJ	G1161	-
Matthew 1:7	3	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:7	4	τὸν	ton	T-ASM	G3588	-
Matthew 1:7	5	Ῥοβοάμ	roboam	N-PRI	G4497	Rehoboam
Matthew 1:7	6	Ῥοβοὰμ	roboam	N-PRI	G4497	Rehoboam
Matthew 1:7	7	δὲ	de	CONJ	G1161	-
Matthew 1:7	8	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
Matthew 1:7	9	τὸν	ton	T-ASM	G3588	-
Matthew 1:7	10	Ἀβιά	abia	N-PRI	G0007	Abijah
Matthew 1:7	11	Ἀβιὰ	abia	N-PRI	G0007	Abijah
Matthew 1:7	12	δὲ	de	CONJ	G1161	and
Matthew 1:7	13	ἐγέννησεν	egennhsen	V-AAI-3S	G1080	the father of
