bdb_id	strongs	headword	type	entry
a.aa.aa		א	root	א Āleph, first letter; in postBHeb. = numeral 1 (and so in margin of printed MT); אֿ = 1000; no evidence of this usage in OT times.
a.aa.ab		אָב		אָב v. II. אבה.
a.ab.aa		אבב	root	אבב (fresh, bright, As. abâbu Dlw, AGl.)
a.ab.ab	H0003	אֵב		[אֵב] n.[m.] freshness, fresh green (Lag B N 207 inf. ibb; thence concr., cf. Ar. Arabic; above stem & mng. better than √ אנב (spring) cf. As. inbu, fruit, Aram. אִנְבֵּהּ (q.v.) Dl HA 65, Pr 114) עֹדֶנּוּ בְאִבּוֹ while in its freshness (i.e. אָחוּ, reed) Jb 8:12; concr., pl. green shoots בְּאִבֵּי הַנַּחַל Ct 6:11 (∥ הֲפָֽרְחָה הַגֶּפֶן הֵנֵצוּ הָרִמֹּנִֽים׃).
a.ab.ac	H0024	אָבִיב		אָבִיב n.m. Lv 2:14 coll. (Lag BN 207 Inf.) fresh, young ears of barley Ex 9:31; indef. Lv 2:14 מִנְחַת בִּכּוּרִים לַיהוָה א׳ קָלוּי בָּאֵשׁ. חֹדֶשׁ הָֽאָבִֽיב month of ear-forming, or of growing green, Abib, month of Exodus & passover, Ex 13:4 23:15 34:18, 18 (JE), Dt 16:1, 1 (1st month = c. April = הָרִאשֹׁן, הַחֹדֶשׁ הָר׳ (q.v.) in P; v. Di Ex 12:2; = postexilic נִיסָן q.v.)
a.ab.ad		אֲבִגַיִל		אֲבִגַיִל v. אֲבִיגַיִל sub. II. אבה.
a.ab.ae	H0005	אֲבַגְתָא		אֲבַגְתָא n.pr.m. (Pers. cf. בִּגְתָא) eunuch of Ahasuerus Est 1:10.
a.ac.aa	H0006	אָבַד	root	אָבַד vb. perish (M I אבד, As. abâtu Dl W 184 Aram אֲבַד, Syriac).— Qal Pf. א׳ Nu 21:30 +; אָבְדוּ ψ 10:16 + (+ Ez 6:3 𝔊 Co) etc.; Impf. יֹאבַד Jb 3:3 Je 4:9; יֹאבֵ֑ד Jb 20:7 + 2t.; 3fs. תֹּאבַד Dt 22:3 + 4t.; תֹּאבֵ֑ד Jb 8:13 + 3t.; יֹאבְדוּ Ju 5:31 + 3t.; יֹאבֵ֑דוּ Jb 4:9 +; 3fpl. וַתֹּאבַדְנָה֙ I S 9:3; תֹּאבֵדוּן Dt 4:26 +; נֹאבֵ֑ד Jon 1:6, 3:9; נֹאבְדָה Jon 1:14 etc.; Inf. abs. אָבֹד Dt 4:26 + 2t.; cstr. אֲבֹד Dt 7:10 Pr 11:10; אֲבָדְךָ Dt 28:20; אָבְדֶ֑ךָ Dt 28:22; אֲבָדְכֶם Jos 23:13; אָבְדָם Ob 12 Pr 28:28; Pt. אֹבֵד Dt 26:5 + 7t.; cstr. אֹבַד Dt 32:28 (bef. ע? v. Di Bö § 378); etc. perish, die, of individuals (mostly late) Nu 17:27 (∥ גוע & (v. 28) מות), (also Dt 26:5? cf. infr.) Jon 1:6, 14 Jb 31:19 cf. 29:13 Pr 31:6 Est 4:14, 16, 16 Mi 4:9 Je 40:15 cf. Is 57:1 Pr 11:10 28:28 Ec 7:15 ψ 119:92; emphasis on morality Jb 4:20 ψ 146:4 Ec 9:6; Saul & Jonath., under fig. of weapons 2 S 1:27; lion Jb 4:11; caravan Jb 6:18 (cf. Di); cf. אָ׳ חָסִיד מִן־הָאָרֶץ Mi 7:2, וְאָ׳ מֶלֶךְ מֵֽעַזָּה Zc 9:5; perish, be exterminated (judgment for sin), of Israel Lv 26:38 Dt 8:19, 19, 20 28:20, 22 30:18, 18 Je 27:10, 15 cf. 6:21, Ob 12 cf. ψ 80:17 Is 27:13; other nations Dt 7:20 Je 10:15 51:18 ψ 2:12 10:16 83:18 cf. 9:4 Am 1:8 Is 41:11 60:12 cf. Jon 3:9 v. also Ex 10:7 Nu 21:29, 30 (JE) Je 48:46; house of Ahab 2 K 9:8; wicked in general Ju 5:31 Jb 4:9 cf. v 7, ψ 37:20 49:11 68:3 (∥ sim. of melting wax), 73:27 92:10; also Pr 19:9 21:28; לָנֶצַח א׳ Jb 20:7; cf. דֶרֶךְ רְשָׁעִים א׳ ψ 1:6; sq. מֵעַל הָאָ֑רֶץ (of annihilation of Isr.) Dt 4:26, 26 11:17 Jos 23:13, 16 (D); sq. מִתּוֹךְ הַקָּהָל (of Korah’s company) Nu 16:33 (JE); perish, be ruined, destroyed, of inanimate things, e.g. land Je 9:11 (∥ נִצְּתָה כַמִּדְבָּר) cf. 48:8; harvest Jo 1:11; Jonah’s gourd Jon 4:10; riches Je 48:36 Ec 5:13; vessel ψ 31:13; houses Am 3:15 (so oft. As. Dl W); city Ez 26:17 (but del. 𝔊 Co); cf. bamôth Ez 6:3 𝔊 Co; heavens & earth ψ 102:27. fig. perish, vanish, subj. memory Jb 18:17 ψ 9:7; name ψ 41:6 (i.e. be forgotten); vigour Jb 30:2; wisdom Is 29:14; cf. אֹבַד עֵצוֹת Dt 32:28; אֱמוּנָה Je 7:28 (∥ נִכְרְתָה); חָזוֹן Ez 12:22; יוֹם Jb 3:3 (i.e. blotted out); לֵב Je 4:9 (i.e. courage fail); תִּקְוָת ψ 9:19 Pr 10:28 11:7 Ez 19:5 37:11 Jb 8:13; so תַּאֲוַת ψ 112:10 (i.e. come to naught); תּוֹחֶלֶת Pr 11:7, sq. מִן + agent La 3:18; תּוֹרָה + עֵצָה sq. מן + persons negligent Je 18:18 Ez 7:26, cf. Je 49:7; esp. א׳ מָנוֹס מִן־ (i.e. they could not escape) Am 2:14 Je 25:35 Jb 11:20 ψ 142:5. be lost, strayed, asses I S 9:3, 20; sheep Je 50:6 Ez 34:4, 16 ψ 119:176 (fig. of erring men); perh. Dt 26:5. Pi. caus. of Qal.—Pf. אִבַּד 2 K 21:3 + 2 t.; sf. וָֽאַבֶּדְךָ Co Ez 28:16 cf. infr.; אִבַּדְתִּי Je 15:7; וְאִבַּדְתִּ֫י Ez 6:3 (𝔊 Co וְאָֽבְדוּ) etc.; Impf. יְאַבֵּד Ec 9:18; וִֽיאַבֵּד Ec 7:7 Zp 2:13; 1 s. sf. וָאַבֶּדְךָ Ez 28:16 (for וָאֲאַבּ׳ Ew § 72 a Ol § 79 a Kö I 338 Ges § 68 nn; but Co 3 ms.; v. also Co 38 14); תְּאַבְּדוּן Dt 12:2 etc.; Inf. abs. אַבֵּד Dt 12:2 + 3 t.; cstr. id. Ez 22:27 + etc.; Pt. מְאַבְּדִים Je 23:1. cause to perish, destroy, kill, obj. pers. (mostly late) 2 K 11:1 Est 3:9 4:7 8:5 9:24; ∥ הרג 9:6, 12; ∥ הַשְׁמִיד + הרג 3:13 7:4 8:11; ∥ המם Est 9:24; cf. ψ 119:95; obj. נְפָשׁוֹת Ez 22:27 (del. 𝔊 Co); in judgment, subj. י׳ ψ 5:7; cf. Pr 1:32; sq. מִתּוֹךְ Ez 28:16; obj. a people 2 K 13:7 2 K 19:18 = Is 37:19; Jb 12:23; in judgment Dt 11:4 Je 12:17 15:7 Zp 2:13 ψ 9:6 cf. 21:11; obj. inanimate things esp. idols, bamôth etc., Nu 33:52, 52 (J) Dt 12:2, 2 2 K 21:3 Ez 6:3 (but cf. 𝔊 Co supr.); bars of Zion La 2:9 (∥ שִׁבַּר). fig. cause to vanish, blot out, do away with names of idols Dt 12:3; voice of Babylon Je 51:55; memory of dead Is 26:14; substance Pr 29:3; understanding Ec 7:7; good (טוֹבָה q.v.) Ec 9:18. cause to stray, lose; obj. Isr. under fig. of flock Je 23:1 (∥ הֵפִיץ); abs. Ec 3:6 (∥ בַקֵּשׁ). Hiph. Pf. וְהֶֽאֱבִיד Nu 24:19; הֶאֱבַ֑דְתָּ Jb 14:19 etc.; Impf. אֹבִידָה Je 46:8 (Ges § 68, 2 R.1). Inf. cstr. הַאֲבִיד 2 K 10:19 + etc.; Pt. מַאֲבִיד Dt 8:20. destroy, put to death, in judgment, (subj. י׳) obj. pers. Lv 23:30 (sq. מִקֶּרֶב עַמָּהּ; ∥ כָּרַת v 29); Je 49:38 (sq. מִשָּׁם); Ob 8 (sq. מֵֽאֱדוֹם); obj. nation, Ammon Ez 25:7 (sq. מן־הארצות; ∥ כָּרַת), cf. v 16; Canaanites Dt 8:20 (sq. מִפְּנֵיכֶם); Canaan = Philistines Zp 2:5 (∥ כָּרַת); esp. Isr. Dt 28:51, 63 (∥ הַשְׁמִיד), cf. Js 7:7; also abs. Je 18:7 (∥ לִנְתוֹשׁ וְלִנְתוֹץ); = 1:10 (+ וְלַהֲרוֹס) = 31:28 (+ וּלְהָרֵעַ); animals Ez 32:13 (sq. מֵעַל מַיִם רַבִּים); cf. Dt 7:10; ψ 143:12 (∥ תַּצְמִית); (human subj.), obj. servants of Baal 2 K 10:19, obj. nation Dt 9:3, cf. Nu 24:19 (E; sq. מֵעִֽיר); 2 K 24:2; cf. Je 46:8; obj. inanimate, chariots Mi 5:9; idols Ez 30:13 (del. BCo). fig., obj. name of kings Dt 7:24 (sq. מִתַּחַת הַשָּׁמָיִם); hope Jb 14:19; voice of mirth etc. Je 25:10 (cf. 51:55 Pi. supr.)
a.ac.ab	H0008	אֹבֵד		אֹבֵד n.[m.] destruction, עֲדֵי א׳ Nu 24:20, 24 (JE; on form with abstract sense v. Ba NB 149).
a.ac.ac	H0009	אֲבֵדָה		אֲבֵדָה n.f. a lost thing—abs. exc. Dt 22:3 cstr. אֲבֵדַת—Ex 22:8; with מָצָא Lv 5:22, 23; with אָבַד + מָצָא Dt 22:3;—(אבדה Pr 27:20 Kt cf. אֲבַדּוֹ infr.)
