strongs	word	brief_definition	full_definition
G0001	ἄλφα	the first letter of the Greek alphabet	alpha; the first letter of the Greek alphabet.
G0002	Ἀαρών, ὁ	Aaron	Aaron, son of Amram and Jochebed, brother of Moses.
G0003	Ἀβαδδών, ὁ	Abaddon	Abaddon, Destroyer (i.e. Destroying Angel) or "place of destruction" (personified).
G0004	ἀβαρής, ες	not burdensome	not burdensome, bringing no weight or oppression upon.
G0005	Ἀββά	Father	Abba, Father.
G0006	Ἄβελ, ὁ	Abel	Abel, second son of Adam and Eve, brother of Cain.
G0007	Ἀβιά, ὁ	Abijah	Abijah, (a) a king, son of Rehoboam, (b) founder of the eighth class of priests.
G0008	Ἀβιαθάρ, ὁ	Abiathar	Abiathar, a priest in King David's time.
G0009	Ἀβιληνή, ῆς, ἡ	Abilene	the Abilenian territory, the territory of Abila (in Syria), a small principality in the mountains of Damascus.
G0010	Ἀβιούδ, ὁ	Abiud	Abiud, son of Zerubbabel and father of Eliakim.
G0011	Ἀβραάμ, ὁ	Abraham	Abraham, progenitor of the Hebrew race.
G0012	ἄβυσσος, ου, ἡ	the abyss, the unfathomable depth	the abyss, unfathomable depth, an especially Jewish conception, the home of the dead and of evil spirits.
G0013	Ἅγαβος, ου, ὁ	Agabus	Agabus, a Christian prophet.
G0014	ἀγαθοεργέω	I perform good deeds	I work that which is good, perform good deeds.
G0015	ἀγαθοποιέω	I do that which is good	I do that which is good.
G0016	ἀγαθοποιΐα, ας, ἡ	the doing of that which is good	the doing of that which is good, well-doing.
G0017	ἀγαθοποιός, οῦ, ὁ	a doer of that which is good	a doer of that which is good.
G0018	ἀγαθός, ή, όν	good	intrinsically good, good in nature, good whether it be seen to be so or not, the widest and most colorless of all words with this meaning.
G0019	ἀγαθωσύνη, ης, ἡ	goodness	intrinsic goodness, especially as a personal quality, with stress on the kindly (rather than the righteous) side of goodness.
G0020	ἀγαλλίασις, εως, ἡ	exultation, exhilaration	wild joy, ecstatic delight, exultation, exhilaration.
G0021	ἀγαλλιάω	I exult, am full of joy	I exult, am full of joy.
G0022	ἄγαμος, οῦ, ὁ, ἡ	unmarried	unmarried, of a person not in a state of wedlock, whether he or she has formerly been married or not.
G0023	ἀγανακτέω	I am angry, am incensed	I am angry, incensed.
G0024	ἀγανάκτησις, εως, ἡ	indignation	feeling of anger, indignation, vexation.
G0025	ἀγαπάω	I love	I love, wish well to, take pleasure in, long for; denotes the love of reason, esteem.
G0026	ἀγάπη, ης, ἡ	love	love, benevolence, good will, esteem; plur: love-feasts.
G0027	ἀγαπητός, ή, όν	loved, beloved	loved, beloved, with two special applications: the Beloved, a title of the Messiah (Christ), as beloved beyond all others by the God who sent Him; of Christians, as beloved by God, Christ, and one another.
G0028	Ἁγάρ, ἡ	Hagar	Hagar, the servant of Sarah, concubine of Abraham.
G0029	ἀγγαρεύω	I impress, send	I impress (into my service), send (on an errand).
G0030	ἀγγεῖον, ου, τό	a vessel, flask, can	a vessel, flask.
G0030	ἄγγος, -εος, τό	a vessel	a vessel.
G0031	ἀγγελία, ας, ἡ	a message	a message.
G0032	ἄγγελος, ου, ὁ	an angel, messenger	a messenger, generally a (supernatural) messenger from God, an angel, conveying news or behests from God to men.
G0034	ἀγέλη, ης, ἡ	a flock, herd	a flock, herd.
G0035	ἀγενεαλόγητος, ον	of unrecorded genealogy	of unrecorded genealogy, whose descent cannot be traced.
G0036	ἀγενής, ές	without family, ignoble	lit: without family, hence: ignoble, base.
G0037	ἁγιάζω	I make holy, sanctify	I make holy, treat as holy, set apart as holy, sanctify, hallow, purify.
G0038	ἁγιασμός, οῦ, ὁ	sanctification, holiness	the process of making or becoming holy, set apart, sanctification, holiness, consecration.
G0040	ἅγιος, ία, ον	set apart, holy, sacred	set apart by (or for) God, holy, sacred.
G0041	ἁγιότης, ητος, ἡ	holiness	holiness, sanctity, as an abstract quality.
G0042	ἁγιωσύνη, ης, ἡ	a holy or sanctified state	a holy or sanctified state.
G0043	ἀγκάλη, ης, ἡ	an arm	an arm, especially as bent to receive a burden.
G0044	ἄγκιστρον, ου, τό	a fish-hook	a fish-hook.
G0045	ἄγκυρα, ας, ἡ	an anchor	an anchor.
G0046	ἄγναφος, ον	unshrunken, new	unshrunken, new.
G0047	ἁγνεία, ας, ἡ	purity, chastity	purity, chastity.
G0048	ἁγνίζω	I cleanse, purify	I cleanse, purify, either ceremonially, actually, or morally.
G0049	ἁγνισμός, οῦ, ὁ	purification	(ceremonial) purification.
G0050	ἀγνοέω	I do not know, am ignorant of	I do not know, am ignorant of (a person, thing, or fact), sometimes with the idea of willful ignorance.
