strongs	word	transliteration	derivation	definition	kjv_usage
G0001	Α	A	of Hebrew origin;	the first letter of the alphabet; figuratively, only (from its use as a numeral) the first:	--Alpha
G0002	Ἀαρών	Aarṓn	of Hebrew origin (H0175);	Aaron, the brother of Moses	Aaron
G0003	Ἀβαδδών	Abaddṓn	of Hebrew origin (H011);	a destroying angel	Abaddon
G0004	ἀβαρής	abarḗs	from G1 (Α) (as a negative particle) and G922 (βάρος);	weightless, i.e. (figuratively) not burdensome	from being burdensome
G0005	Ἀββᾶ	Abbâ	of Chaldee origin (H02);	father as a vocative	Abba
G0006	Ἄβελ	Ábel	of Hebrew origin (H01893);	Abel, the son of Adam	Abel
G0007	Ἀβιά	Abiá	of Hebrew origin (H029);	Abijah, the name of two Israelites	Abia
G0008	Ἀβιαθάρ	Abiathár	of Hebrew origin (H054);	Abiathar, an Israelite	Abiathar
G0009	Ἀβιληνή	Abilēnḗ	of foreign origin (compare H058);	Abilene, a region of Syria	Abilene
G0010	Ἀβιούδ	Abioúd	of Hebrew origin (H031);	Abihud, an Israelite	Abiud
G0011	Ἀβραάμ	Abraám	of Hebrew origin (H085);	Abraham, the Hebrew patriarch	Abraham
G0012	ἄβυσσος	ábyssos	from G1 (Α) (as a negative particle) and a variation of G1037 (βυθός);	depthless, i.e. (specially) (infernal) "abyss"	deep, (bottomless) pit
G0013	Ἄγαβος	Ágabos	of Hebrew origin (compare H02285);	Agabus, an Israelite	Agabus
G0014	ἀγαθοεργέω	agathoergéō	from G18 (ἀγαθός) and G2041 (ἔργον);	to work good	do good
G0015	ἀγαθοποιέω	agathopoiéō	from G17 (ἀγαθοποιός);	to be a well-doer (as a favor or a duty)	(when) do good (well)
G0016	ἀγαθοποιΐα	agathopoiḯa	from G17 (ἀγαθοποιός);	well-doing, i.e. virtue	well-doing
G0017	ἀγαθοποιός	agathopoiós	from G18 (ἀγαθός) and G4160 (ποιέω);	a well-doer, i.e. virtuous	them that do well
G0018	ἀγαθός	agathós	a primary word;	"good" (in any sense, often as noun)	benefit, good(-s, things), well
