strongs	word	transliteration	pronunciation	part_of_speech	language	derivation	definition	kjv_usage
H0001	אָב	ʼâb	awb	n-m	heb	a primitive word;	father, in a literal and immediate, or figurative and remote application	chief, (fore-) father(-less), × patrimony, principal. Compare names in 'Abi-'.
H0002	אַב	ʼab	ab	n-m	arc	(Aramaic) corresponding to 1		father.
H0003	אֵב	ʼêb	abe	n-m	heb	from the same as 24;	a green plant	greenness, fruit.
H0004	אֵב	ʼêb	abe	n-m	arc	(Aramaic) corresponding to 3		fruit.
H0005	אֲבַגְתָא	ʼĂbagthâʼ	ab-ag-thaw'	n-pr-m	x-pn	of foreign origin;	Abagtha, a eunuch of Xerxes	Abagtha.
H0006	אָבַד	ʼâbad	aw-bad'	v	heb	a primitive root;	properly, to wander away, i.e. lose oneself; by implication to perish (causative, destroy)	break, destroy(-uction), not escape, fail, lose, (cause to, make) perish, spend, × and surely, take, be undone, × utterly, be void of, have no way to flee.
H0007	אֲבַד	ʼăbad	ab-ad'	v	arc	(Aramaic) corresponding to 6		destroy, perish.
H0008	אֹבֵד	ʼôbêd	o-bade'	n-m	heb	active of participle of 6;	(concrete) wretched or (abstract) destruction	perish.
H0009	אֲבֵדָה	ʼăbêdâh	ab-ay-daw'	n-f	heb	from 6; Compare 10.	concrete, something lost; abstract, destruction, i.e. Hades	lost.
H0010	אֲבַדֹּה	ʼăbaddôh	ab-ad-do'	n-f	heb	the same as 9, miswritten for 11;	a perishing	destruction.
H0011	אֲבַדּוֹן	ʼăbaddôwn	ab-ad-done'	n-pr-loc	heb	intensive from 6;	abstract, a perishing; concrete, Hades	destruction.
H0012	אַבְדָן	ʼabdân	ab-dawn'	n-m	heb	from 6;	a perishing	destruction.
H0013	אׇבְדַן	ʼobdan	ob-dawn'	n-m	heb	from 6;	a perishing	destruction.
H0014	אָבָה	ʼâbâh	aw-baw'	v	heb	a primitive root;	to breathe after, i.e. (figuratively) to be acquiescent	consent, rest content will, be willing.
H0015	אָבֶה	ʼâbeh	aw-beh'	n-f	heb	from 14;	longing	desire.
H0016	אֵבֶה	ʼêbeh	ay-beh'	n-m	heb	from 14 (in the sense of bending toward);	the papyrus	swift.
H0017	אֲבוֹי	ʼăbôwy	ab-o'ee	inj	heb	from 14 (in the sense of desiring);	want	sorrow.
H0018	אֵבוּס	ʼêbûwç	ay-booce'	n-m	heb	from 75;	a manger or stall	crib.
H0019	אִבְחָה	ʼibchâh	ib-khaw'	n-f	heb	from an unused root (apparently meaning to turn);	brandishing of a sword	point.
H0020	אֲבַטִּיחַ	ʼăbaṭṭîyach	ab-at-tee'-akh	n-m	heb	of uncertain derivation;	a melon (only plural)	melon.
H0021	אֲבִי	ʼĂbîy	ab-ee'	n-pr-f	x-pn	from 1; fatherly;	Abi, Hezekiah's mother	Abi.
H0022	אֲבִיאֵל	ʼĂbîyʼêl	ab-ee-ale'	n-pr-m	x-pn	from 1 and 410; father (i.e. possessor) of God;	Abiel, the name of two Israelites	Abiel.
H0023	אֲבִיאָסָף	ʼĂbîyʼâçâph	ab-ee-aw-sawf'	n-pr-m	x-pn	from 1 and 622; father of gathering (i.e. gatherer);	Abiasaph, an Israelite	Abiasaph.
H0024	אָבִיב	ʼâbîyb	aw-beeb'	n-m	heb	from an unused root (meaning to be tender);	green, i.e. a young ear of grain; hence, the name of the month Abib or Nisan	Abib, ear, green ears of corn (not maize).
